bug type,Orthogonal_Lines,Mean_Intensity,Bug_to_Total_Ratio,Min_R_bug,Min_G_bug,Min_B_bug,Max_R_bug,Max_G_bug,Max_B_bug,Mean_R_bug,Mean_G_bug,Mean_B_bug,Voting,Voting_Recognition
Bee,1.0,3.291194791666667,0.034155375,5.0,0.0,8.0,255.0,222.0,237.0,100.83108319944762,86.93733904741688,101.31007198720552,Hover fly,False
Bumblebee,1.000028129294016,1.2976465416666667,0.0197255,0.0,1.0,1.0,255.0,255.0,255.0,57.07836725727274,59.108829096009394,81.16849171546137,Bee,False
Bee,1.0,0.9584503194444444,0.0136154166666666,0.0,6.0,9.0,250.0,217.0,235.0,47.33235609144046,74.80014689230957,89.05096857116627,Bumblebee,False
Bumblebee,1.0,0.5892733194444445,0.010833,0.0,0.0,0.0,255.0,255.0,255.0,42.26043109018739,56.38186944213668,64.54610141850519,Bee,False
Bee,1.0,1.0729805,0.01157,0.0,0.0,0.0,255.0,255.0,255.0,73.69265701526938,92.67999135695764,111.84182872371076,Bee,True
Bumblebee,1.0,2.8045844444444445,0.0443591666666666,0.0,0.0,0.0,255.0,255.0,255.0,57.84230993218237,57.91564783678683,73.91542804005185,Bumblebee,True
Bee,1.0,1.5135875555555556,0.02632075,0.0,0.0,1.0,196.0,185.0,187.0,55.19816431269373,50.05345592355841,67.26484174399792,Bumblebee,False
Bumblebee,1.001039841004995,1.264722763888889,0.021689,0.0,2.0,3.0,233.0,227.0,245.0,37.59503857562205,64.10663047320455,73.23347280495489,Bumblebee,True
Bumblebee,1.0002182584837995,1.3468811111111112,0.015522,0.0,4.0,6.0,255.0,255.0,255.0,76.41388029893055,85.03650732293949,98.86679658978656,Bee,False
Bee,1.0008005646035585,0.5453836666666667,0.0071994166666666,0.0,3.0,6.0,254.0,255.0,255.0,68.25091731969026,71.39061613788154,87.62007338557522,Bee,True
Bee,1.0000888547153697,0.8106699583333333,0.011769375,1.0,5.0,5.0,255.0,255.0,255.0,54.56003752677323,72.77605721062787,79.30273485210557,Bee,True
Bee,1.0,1.2374125694444444,0.0244128333333333,0.0,0.0,2.0,225.0,177.0,202.0,52.61118639786452,39.97087426694976,59.47885162858333,Bee,True
Bumblebee,1.0009789958473678,1.2174610555555556,0.02017875,0.0,0.0,3.0,255.0,255.0,255.0,49.09832744842966,56.8750831113589,75.02804724441967,Bumblebee,True
Bee,1.0016550855683923,0.4994303333333333,0.0059168333333333,0.0,4.0,7.0,204.0,199.0,201.0,68.36625024647194,84.3832779358328,100.47562040505902,Bee,True
Bee,1.3743685418725535,1.6565901805555556,0.0167739166666666,0.0,0.0,4.0,255.0,255.0,255.0,81.48323538032759,98.59271587335496,116.20372155181408,Bee,True
Bumblebee,1.000995885693626,2.641691125,0.04084775,0.0,0.0,0.0,255.0,255.0,255.0,54.3738629014654,60.93383152478819,78.70723601667166,Bumblebee,True
Bee,1.000105694988223,1.2831033472222222,0.01632,0.0,3.0,5.0,255.0,255.0,255.0,52.593098958333336,78.35397263071896,104.91751429738562,Bee,True
Hover fly,1.0,3.5672528333333333,0.030173125,4.0,6.0,12.0,255.0,255.0,255.0,110.54690087066996,111.19901126140122,132.9325807320256,Bee,False
Bee,1.0005740936269298,1.9384119027777775,0.024148125,2.0,0.0,2.0,255.0,242.0,253.0,81.32869701753931,70.71446885972858,88.77204061737022,Bee,True
Bumblebee,1.0005181921869872,1.0750208194444444,0.0130305,0.0,1.0,2.0,255.0,255.0,255.0,79.05438842203549,77.06552575368046,91.38113784326517,Bee,False
Bumblebee,1.0014072989066067,0.9129360416666666,0.0153065,0.0,0.0,1.0,255.0,255.0,255.0,52.6194318317926,54.89458726684742,71.41703143544682,Bee,False
Bee,1.0,1.2577221666666667,0.018113875,0.0,0.0,2.0,230.0,191.0,212.0,69.70647960932342,57.68113301727727,80.91494549528102,Bee,True
Hover fly,1.0002654244594322,1.185391361111111,0.013378,0.0,0.0,5.0,255.0,255.0,255.0,64.45392933672198,90.53487068321124,110.83375068520456,Bee,False
Wasp,1.000060281164358,1.2267861527777777,0.015003875,5.0,5.0,7.0,255.0,237.0,255.0,87.82356224641967,73.53891633550222,83.9313843923653,Bee,False
Butterfly,1.0,6.336932597222222,0.0686645,0.0,0.0,0.0,255.0,255.0,255.0,72.43051419098175,89.37359673970295,115.06090362074532,Bumblebee,False
Bumblebee,1.0,1.9208686944444444,0.03304125,0.0,0.0,0.0,255.0,255.0,255.0,53.47284833352249,55.87843352375187,65.0551368869721,Bumblebee,True
Bee,1.0,0.4218626805555555,0.00476125,2.0,6.0,12.0,255.0,255.0,255.0,78.60267786820688,81.65403868031855,105.55332108164872,Bee,True
Bumblebee,1.0,2.0193018611111118,0.02533125,0.0,0.0,1.0,255.0,255.0,255.0,68.93429393864626,83.51525947857554,86.69796529319845,Bumblebee,True
